CHE_name,CNES_name,Address,Campus_Size,Housing,Total_All_Undergrad_Grant/Scholarship,AVG_All_Undergrad_Grant/Scholarship,Total_Federal_Student_Loans,AVG_Dederal_Student_Loans_Amount,undergraduate_population,graduate_population,total_number_faculty,college_year,control,state,zipcode,city,county,Tuition_out_state_undergraduate,Tuition_in_state_undergraduate,Tuition_In_state_graduate,Tuition_Out_State_Graduate,Tuition_fee_graduate_In_State,Tuition_fee_graduate_Out_State,Average_Tuition,Average_Expense,AVG_Tuition-Grad-2019-2020,AVG_Fee-Grad-2019-2020
Aims Community College,Aims Community College,"5401 W. 20th St., Greeley, Colorado 80634",City: Midsize,No,13698323.0,5464.0,2034608.00 ,4301.00 ,6634,0,441,2,Public,CO,80634,Greeley,Weld County,10422.5,2757.5,0,0,0,0,0.0,18532.0,,
Alabama State University,Alabama State University,"915 S Jackson Street, Montgomery, Alabama 36104-0271",City: Midsize,Yes,30601852.0,8291.0,32546045.00 ,10129.00 ,3750,440,363,4,Public,AL,36104,Montgomery,Montgomery County,18586.0,10606.0,7416,14832,2740,2740,0.0,21334.0,,
Alamance Community College,Alamance Community College,"1247 Jimmie Kerr Road, Graham, North Carolina 27253-8000",Rural: Fringe,No,7271938.0,3795.0,0.00 ,,4328,0,474,2,Public,NC,27253,Graham,Alamance County,7288.5,2188.5,0,0,0,0,0.0,24865.5,,
Alaska Bible College,Alaska Bible College,"248 E Elmwood Ave, Palmer, Alaska 99645",Town: Distant,Yes,105839.0,3307.0,32030.00 ,3203.00 ,40,0,9,4,Privatenot-for-profit,AK,99645,Palmer,Matanuska-Susitna Borough,0.0,0.0,0,0,0,0,9625.0,19931.5,,
Alaska Christian College,Alaska Christian College,"35109 Royal Place, Soldotna, Alaska 99669",Rural: Fringe,Yes,1200569.0,15007.0,155851.00 ,3896.00 ,95,0,13,2,Privatenot-for-profit,AK,99669,Soldotna,Kenai Peninsula Borough,0.0,0.0,0,0,0,0,7914.0,21050.25,,
Alaska Pacific University,Alaska Pacific University,"4101 University Dr, Anchorage, Alaska 99508",City: Large,Yes,3136388.0,12647.0,1007236.00 ,7044.00 ,337,192,90,4,Privatenot-for-profit,AK,99508,Anchorage,Anchorage Municipality,0.0,0.0,0,0,0,0,20647.5,34300.0,11700.0,410.0
Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,"106 New Scotland Avenue, Albany, New York 12208-3492",City: Small,Yes,11941857.0,14066.0,4727638.00 ,7341.00 ,794,446,144,4,Privatenot-for-profit,NY,12208,Albany,Albany County,0.0,0.0,0,0,0,0,34363.0,48808.5,25110.0,625.0
Albany State University,Albany State University,"504 College Drive, Albany, Georgia 31705",City: Small,Yes,26451066.0,6236.0,25069771.00 ,6397.00 ,5778,344,306,4,Public,GA,31705,Albany,Dougherty County,16181.5,5708.5,3438,13716,1870,1870,0.0,18836.5,,
Albany Technical College,Albany Technical College,"1704 South Slappey Boulevard, Albany, Georgia 31701",City: Small,No,15798418.0,5743.0,4969327.00 ,3322.00 ,3285,0,266,2,Public,GA,31701,Albany,Dougherty County,4971.5,2768.5,0,0,0,0,0.0,9659.0,,
Albertus Magnus College,Albertus Magnus College,"700 Prospect St, New Haven, Connecticut 06511-1189",City: Midsize,Yes,12065636.0,15834.0,7843803.00 ,9805.00 ,1116,303,190,4,Privatenot-for-profit,CT,6511,New Haven,New Haven County,0.0,0.0,0,0,0,0,31746.5,52562.0,20520.0,184.0
Albion College,Albion College,"611 E Porter St, Albion, Michigan 49224",Town: Fringe,Yes,56796977.0,37465.0,7017944.00 ,6853.00 ,1475,0,155,4,Privatenot-for-profit,MI,49224,Albion,Calhoun County,0.0,0.0,0,0,0,0,44488.75,58131.25,,
