Name,Control,State,Plan,2018 Fall Enrollment,Known_Cases_in_County_per_100k_Residents,lat,lng
Concordia U. Texas,Private,TX,Hybrid,2568.0,1724,30.4209405,-97.8362821
Concordia U. Wisconsin,Private,WI,Primarily in person,6374.0,643,43.2541994,-87.915531
Connecticut College,Private,CT,Primarily online,1844.0,521,41.3786923,-72.1046019
Connors State College,Public,OK,Hybrid,2090.0,634,35.4925516,-95.32222139999999
Contra Costa College,Public,CA,Primarily online,7193.0,703,37.9679011,-122.34066
Converse College,Private,SC,Primarily in person,1380.0,1237,34.9560481,-81.91890389999999
Cooper Union for the Advancement of Science and Art,Private,NY,Fully online,952.0,1872,40.7280822,-73.99160859999999
Copiah-Lincoln Community College,Public,MS,TBD,3094.0,3165,31.6903033,-90.4008317
Copper Mountain College,Public,CA,Primarily online,1748.0,1544,34.141727,-116.2132194
Coppin State U.,Public,MD,TBD,2738.0,1883,39.31260109999999,-76.65799729999999
Corban U.,Private,OR,TBD,1183.0,795,44.88383779999999,-122.9580948
Cornell College,Private,IA,Other,1028.0,931,41.92695459999999,-91.4253502
Cornell U.,Private,NY,Other,23600.0,223,42.4534492,-76.4735027
Cornerstone U.,Private,MI,Hybrid,2131.0,1119,42.98105959999999,-85.5958687
Corning Community College,Public,NY,Hybrid,3424.0,301,42.1175053,-77.0729753
Cornish College of the Arts,Private,WA,Primarily in person,625.0,717,47.6181721,-122.336243
Cossatot Community College of the U. of Arkansas,Public,AR,TBD,1518.0,5438,34.0446395,-94.3673553
Cosumnes River College,Public,CA,Primarily online,14193.0,667,38.4528446,-121.4238833
Cottey College,Private,MO,Hybrid,271.0,218,37.83805479999999,-94.3701012
County College of Morris,Public,NJ,TBD,7556.0,1448,40.8598036,-74.5780266
Covenant College,Private,GA,Primarily in person,1046.0,678,34.9654615,-85.3749113
Cowley County Community College,Public,KS,Primarily in person,2664.0,424,37.0613402,-97.0418356
Cox College,Private,MO,TBD,919.0,423,37.22498,-93.289904
Crafton Hills College,Public,CA,Fully online,6552.0,1544,34.038649,-117.100396
Craven Community College,Public,NC,TBD,3003.0,612,35.11165,-77.103419
Creighton U.,Private,NE,Primarily in person,8910.0,1863,41.2655521,-95.94638619999999
Criswell College,Private,TX,Fully in person,236.0,1932,32.7929763,-96.7771301
Crossroads Bible College,Private,IN,Fully online,157.0,1557,30.565261,-97.55031400000001
Crowder College,Public,MO,Primarily online,4521.0,1376,36.817234,-94.36695089999999
Crowley's Ridge College,Private,AR,TBD,198.0,858,36.066437,-90.584504
Crown College (Minn.),Private,MN,Hybrid,1510.0,766,44.8849362,-93.7421462
Cuesta College,Public,CA,Primarily online,11024.0,634,35.32924990000001,-120.7400729
Culinary Institute of America,Private,NY,Primarily in person,2990.0,1538,41.7457375,-73.93328439999999
Culver-Stockton College,Private,MO,Fully in person,1068.0,329,40.1290996,-91.53354069999999
Cumberland County College,Public,NJ,TBD,2934.0,2112,39.4410843,-75.0561718
Cumberland U.,Private,TN,Primarily online,2405.0,1556,36.2052388,-86.2991323
Curry College,Private,MA,TBD,2580.0,1481,42.2353087,-71.1111665
Curtis Institute of Music,Private,PA,TBD,171.0,1644,39.9488153,-75.17064669999999
Cuyahoga Community College,Public,OH,TBD,23440.0,1009,41.49482099999999,-81.6836589
Cuyamaca College,Public,CA,Primarily online,8824.0,905,32.74634,-116.9409157
Cypress College,Public,CA,Fully online,15794.0,1182,33.8281347,-118.0249841
D'Youville College,Private,NY,Hybrid,3045.0,932,42.902721,-78.8909032
Dabney S. Lancaster Community College,Public,VA,Primarily online,981.0,366,37.8114509,-79.8525161
Daemen College,Private,NY,Other,2574.0,932,42.9648902,-78.78843839999999
Dakota College at Bottineau,Public,ND,Primarily in person,996.0,258,48.832551,-100.441195
Dakota County Technical College,Public,MN,Primarily online,2523.0,943,44.7371562,-93.0793075
Dakota State U.,Public,SD,Fully in person,3382.0,644,44.0176849,-97.10849759999999
Dakota Wesleyan U.,Private,SD,Primarily in person,1024.0,442,43.697665,-98.03122
Dallas Baptist U.,Private,TX,TBD,4766.0,1932,32.7100766,-96.94698280000001
Dallas Christian College,Private,TX,TBD,213.0,1932,32.9137019,-96.8875863
Dallas Institute of Funeral Service,Private,TX,TBD,187.0,1932,32.7712402,-96.68328849999999
Dallas Nursing Institute,Private,TX,TBD,225.0,1932,32.9798696,-96.7571289
Dalton State College,Public,GA,Primarily in person,5118.0,3085,34.7756843,-85.0027613
Danville Area Community College,Public,IL,TBD,2620.0,270,40.129096,-87.58802759999999
Danville Community College,Public,VA,TBD,2828.0,795,36.5658231,-79.4051509
Dartmouth College,Private,NH,Primarily online,6572.0,115,43.7044406,-72.2886935
Davenport U.,Private,MI,Primarily in person,6746.0,1119,42.8494622,-85.53066489999999
Davidson College,Private,NC,Hybrid,1843.0,1979,35.5008018,-80.8446725
Davidson County Community College,Public,NC,Primarily in person,3654.0,998,35.8670357,-80.1805322
Davis & Elkins College,Private,WV,Primarily in person,793.0,705,38.9314489,-79.8478885
Davis College (N.Y.),Private,NY,TBD,241.0,542,42.1058522,-75.96656779999999
Dawson Community College,Public,MT,TBD,413.0,174,47.0854045,-104.7239456
Daytona State College,Public,FL,TBD,13737.0,1345,29.2021607,-81.0485046
De Anza College,Public,CA,Primarily online,19482.0,553,37.3206678,-122.0454878
Dean College,Private,MA,Hybrid,1320.0,1481,42.084906,-71.3979611
Defiance College,Private,OH,TBD,545.0,337,41.2963026,-84.3598197
Del Mar College,Public,TX,Primarily online,11867.0,2734,27.7635746,-97.4076327
Delaware College of Art and Design,Private,DE,TBD,118.0,1237,39.7418679,-75.5498133
Delaware County Community College,Public,PA,Primarily online,11314.0,1562,39.9672622,-75.3921891
Delaware State U.,Public,DE,Hybrid,4586.0,1258,39.1861372,-75.5422735
"Delaware Technical Community College, Terry Campus",Public,DE,Primarily online,13895.0,1258,39.1981614,-75.5623213
Delaware Valley U.,Private,PA,Primarily in person,2428.0,1117,40.2982282,-75.15994289999999
Delgado Community College,Public,LA,Primarily online,14258.0,2665,29.890784,-90.17874239999999
Dell'Arte International,Private,CA,Other,30.0,172,40.8809052,-123.9888258
Delta College,Public,MI,TBD,8080.0,522,43.5578694,-83.9858694
Delta State U.,Public,MS,TBD,3715.0,2881,33.7453784,-90.7354508
Denison U.,Private,OH,Hybrid,2394.0,648,40.0734008,-82.52290479999999
Denmark Technical College,Public,SC,TBD,489.0,3007,33.3117823,-81.1257827
DePaul U.,Private,IL,Primarily online,22437.0,2043,41.9247559,-87.6566465
DePauw U.,Private,IN,Primarily in person,2156.0,588,39.6392814,-86.8634368
Des Moines Area Community College,Public,IA,Primarily online,23474.0,2036,41.7070212,-93.6096908
DeSales U.,Private,PA,Hybrid,3438.0,1337,40.5387807,-75.3792986
Diablo Valley College,Public,CA,Primarily online,20271.0,703,37.9686774,-122.0711537
Dickinson College,Private,PA,Fully online,2399.0,495,40.2028536,-77.1972141
Dickinson State U.,Public,ND,TBD,1392.0,622,46.8825484,-102.8003959
Dillard U.,Private,LA,Hybrid,1309.0,2665,29.9966395,-90.0662662
Dine College,Public,AZ,TBD,1519.0,4284,36.1318054,-111.2337646
Divine Word College,Private,IA,TBD,57.0,1564,42.4417228,-90.93468469999999
Dixie State U.,Public,UT,Primarily in person,9950.0,1455,37.0904615,-113.6209224
Doane U.,Private,NE,TBD,1008.0,4066,40.622954,-96.95096699999999
Doane U. at Lincoln,Private,NE,TBD,1609.0,985,40.815479,-96.650523
Dodge City Community College,Public,KS,Fully in person,1548.0,6107,37.7777983,-100.0335003
Dominican College of Blauvelt,Private,NY,TBD,1956.0,4289,41.0471959,-73.9505947
Dominican U.,Private,IL,TBD,2990.0,2043,41.902411,-87.822057
Dominican U. of California,Private,CA,TBD,1779.0,1916,37.9797597,-122.5132315
Donnelly College,Private,KS,Primarily in person,364.0,2797,39.1123006,-94.65035999999999
Dordt College,Private,IA,Fully in person,1564.0,1691,43.0824829,-96.16636079999999
Drake U.,Private,IA,Primarily in person,4869.0,2036,41.6030995,-93.6546481
Drew U.,Private,NJ,Primarily online,2263.0,1448,40.7607334,-74.4273592
Drexel U.,Private,PA,Hybrid,24634.0,1644,39.9566127,-75.18994409999999
Drury U.,Private,MO,Fully in person,1730.0,423,37.2199202,-93.2859409
Drury University-College of Continuing Professional Studies,Private,MO,Other,1542.0,423,37.2199202,-93.2859409
Duke U.,Private,NC,Hybrid,16606.0,1916,36.0014258,-78.9382286
Dunwoody College of Technology,Private,MN,TBD,1316.0,1440,44.9728942,-93.2904197
Duquesne U.,Private,PA,TBD,9274.0,673,40.4367914,-79.989232
Durham Technical Community College,Public,NC,TBD,5434.0,1916,35.9733357,-78.881712
Dutchess Community College,Public,NY,Primarily online,8582.0,1538,41.7222178,-73.9067896
Dyersburg State Community College,Public,TN,TBD,2977.0,1442,36.0480637,-89.39095449999999
Earlham College and Earlham School of Religion,Private,IN,TBD,1104.0,473,39.8262458,-84.9100994
East Arkansas Community College,Public,AR,Primarily online,1151.0,4301,35.0416547,-90.7676961
East Carolina U.,Public,NC,Primarily in person,28718.0,996,35.6055108,-77.3645653
East Central College,Public,MO,Primarily in person,2629.0,505,38.4317925,-90.9782362
East Central Community College,Public,MS,Primarily in person,2603.0,2397,32.440603,-89.11275119999999
East Central U. (Okla.),Public,OK,TBD,3576.0,459,34.7728989,-96.65981839999999
East Georgia State College,Public,GA,TBD,2942.0,1893,32.595367,-82.307009
East Los Angeles College,Public,CA,Fully online,35403.0,1903,34.0413848,-118.1502645
East Mississippi Community College,Public,MS,TBD,4000.0,2206,32.830934,-88.484783
East San Gabriel Valley ROP/TC,Public,CA,Other,139.0,1903,34.0767725,-117.937097
East Stroudsburg U. of Pennsylvania,Public,PA,Primarily online,6412.0,949,40.9970909,-75.172533
East Tennessee State U.,Public,TN,Primarily in person,14317.0,817,36.3023954,-82.36985299999999
East Texas Baptist U.,Private,TX,Hybrid,1613.0,930,32.5558104,-94.3734369
East-West U. at Chicago,Private,IL,TBD,394.0,2043,41.8710441,-87.6255798
East-West U. at Keshena (Wis.),Private,WI,TBD,11.0,415,44.8817542,-88.63132979999999
Eastern Arizona College,Public,AZ,TBD,6040.0,1291,32.8441349,-109.7622045
Eastern Connecticut State U.,Public,CT,Primarily in person,5208.0,595,41.720017,-72.215698
Eastern Florida State College,Public,FL,Hybrid,15820.0,969,28.3839968,-80.7586436
Eastern Gateway Community College,Public,OH,Primarily online,13940.0,305,40.3763666,-80.6721886
Eastern Idaho Technical College,Public,ID,TBD,1288.0,631,43.4860622,-111.9868529
Eastern Illinois U.,Public,IL,Primarily in person,7526.0,771,39.4780179,-88.17588510000002
Eastern Iowa Community College District Central Office,Public,IA,TBD,7771.0,915,41.522137,-90.574479
Eastern Kentucky U.,Public,KY,Primarily in person,15815.0,427,37.7353214,-84.298672
Eastern Maine Community College,Public,ME,TBD,2396.0,98,44.8260154,-68.7437515
Eastern Mennonite U.,Private,VA,Primarily in person,1444.0,1963,38.4724719,-78.8775142
Eastern Michigan U.,Public,MI,TBD,19123.0,657,42.2506803,-83.624089
Eastern Nazarene College,Private,MA,Hybrid,848.0,1481,42.2707359,-71.01238579999999
Eastern New Mexico U.,Public,NM,Primarily online,6005.0,738,34.1775401,-103.3477839
Eastern New Mexico U. at Roswell,Public,NM,Primarily in person,2427.0,553,33.3107648,-104.5239153
Eastern New Mexico U. Ruidoso Branch Community College,Public,NM,TBD,605.0,539,33.3464484,-105.6769345
Eastern Oklahoma State College,Public,OK,Hybrid,1541.0,658,34.9134996,-95.3277088
Eastern Oregon U.,Public,OR,Primarily in person,2978.0,1491,45.3186715,-118.0916595
Eastern Shore Community College,Public,VA,Primarily in person,654.0,3296,37.640372,-75.7509851
Eastern U.,Private,PA,Primarily in person,3256.0,1562,40.05119810000001,-75.37128
Eastern Washington U.,Public,WA,Primarily online,12633.0,776,47.4910283,-117.5862361
Eastern West Virginia Community and Technical College,Public,WV,Primarily in person,483.0,390,39.0758036,-78.930679
Eastern Wyoming College,Public,WY,TBD,1462.0,112,42.0790334,-104.1900862
Eastfield College,Public,TX,Primarily online,16769.0,1932,32.8147231,-96.6608754
Ecclesia College,Private,AR,TBD,218.0,1748,36.214049,-94.2368474
Eckerd College,Private,FL,Primarily in person,2006.0,1751,27.715886,-82.68816
Edgecombe Community College,Public,NC,TBD,2012.0,1086,35.941055,-77.7934801
Edgewood College,Private,WI,Hybrid,2190.0,792,43.060689,-89.423378
Edinboro U. of Pennsylvania,Public,PA,Primarily online,4834.0,350,41.871572,-80.12080279999999
Edison State Community College,Public,OH,TBD,3676.0,733,40.1583581,-84.2117513
Edmonds Community College,Public,WA,TBD,8041.0,654,47.8167023,-122.3271999
Edward Waters College,Private,FL,Primarily online,2906.0,2344,30.3436924,-81.6836993
El Camino College,Public,CA,Primarily online,24820.0,1903,33.8852358,-118.3284419
El Camino College at Compton (Calif.),Public,CA,TBD,7046.0,1903,33.874415,-118.208851
El Centro College,Public,TX,Primarily online,11729.0,1932,32.77976,-96.805331
El Paso Community College,Public,TX,Primarily online,28819.0,1720,31.751609,-106.369236
Elgin Community College,Public,IL,Primarily online,9567.0,1733,42.0177689,-88.3230517
Elim Bible Institute and College,Private,NY,TBD,113.0,261,42.9093647,-77.61508599999999
Elizabeth City State U.,Public,NC,TBD,1677.0,889,36.281065,-76.2139598
Elizabethtown College,Private,PA,Primarily in person,1687.0,1050,40.1503251,-76.589792
Elizabethtown Community and Technical College,Public,KY,Primarily online,6399.0,482,37.6932206,-85.8806041
Ellsworth Community College,Public,IA,TBD,796.0,952,42.5265253,-93.2666162
Elmhurst College,Private,IL,TBD,3426.0,1231,41.8958085,-87.9456074
Elmira College,Private,NY,Primarily in person,892.0,190,42.0967817,-76.81537050000001
Elms College,Private,MA,Hybrid,1531.0,1592,42.1422257,-72.6016769
Elon U.,Private,NC,Primarily in person,6991.0,1374,36.1026877,-79.5023313
Elyon College,Private,NY,Other,41.0,2406,40.611059,-73.980626
Embry-Riddle Aeronautical U. at Daytona Beach (Fla.),Private,FL,Fully in person,6613.0,1345,29.1917101,-81.05010899999999
Embry-Riddle Aeronautical U. at Prescott (Ariz.),Private,AZ,Fully in person,2776.0,809,34.6161839,-112.4488672
Embry-Riddle Aeronautical U.-Extended Campus,Private,FL,Fully in person,14168.0,1345,29.1917101,-81.05010899999999
Emerson College,Private,MA,Hybrid,4573.0,2697,42.35218769999999,-71.0656359
Emmanuel College (Ga.),Private,GA,Primarily in person,920.0,1621,34.2821297,-83.14755509999999
Emmanuel College (Mass.),Private,MA,Hybrid,2209.0,2697,42.3406701,-71.1026645
Emmaus Bible College,Private,IA,Hybrid,238.0,1564,42.508698,-90.705783
Emory & Henry College,Private,VA,Fully in person,1246.0,333,36.77252,-81.82925
Emory U.,Private,GA,Primarily online,14458.0,1679,33.7971368,-84.32224
Emporia State U.,Public,KS,Primarily in person,5796.0,1934,38.4163982,-96.17927639999999
Endicott College,Private,MA,Primarily in person,4794.0,2226,42.5535151,-70.8436261
Enterprise State Community College,Public,AL,Primarily online,1705.0,1419,31.29836269999999,-85.83642290000002
Epic Bible College,Private,CA,TBD,155.0,667,38.6452727,-121.3627355
Erie Community College City Campus,Public,NY,Primarily online,10529.0,932,42.8819508,-78.8725599
Erskine College,Private,SC,TBD,693.0,1172,34.3305278,-82.3905527
Essex County College,Public,NJ,TBD,7514.0,2461,40.7383482,-74.178945
Estrella Mountain Community College,Public,AZ,TBD,9976.0,2828,33.4804594,-112.3434634
Eureka College,Private,IL,TBD,567.0,245,40.71398,-89.267575
Evangel U.,Private,MO,Primarily online,2098.0,423,37.2214863,-93.264054
Everett Community College,Public,WA,Primarily online,7957.0,654,48.0065191,-122.204757
Everglades U. at Boca Raton (Fla.),Private,FL,TBD,2262.0,2367,26.3917512,-80.106239
Evergreen State College,Public,WA,Primarily online,3327.0,232,47.0734899,-122.9752709
Evergreen Valley College,Public,CA,Fully online,9598.0,553,37.3011274,-121.7650792
Fairfield U.,Private,CT,Primarily in person,5273.0,1884,41.1588424,-73.2573886
Fairleigh Dickinson U.,Private,NJ,Primarily in person,7871.0,2207,40.8980267,-74.0306732
Fairleigh-Dickinson U. College at Florham (N.J.),Private,NJ,Primarily in person,3483.0,1448,40.7773348,-74.4341364
Fairmont State U.,Public,WV,Fully in person,3947.0,312,39.4857867,-80.1630335
Faith Baptist Bible College and Theological Seminary,Private,IA,Fully in person,353.0,2036,41.7366939,-93.62456259999999
Faith International U.,Private,WA,TBD,196.0,596,47.280067,-122.5164989
Faith Theological Seminary,Private,MD,TBD,117.0,1883,39.3716517,-76.6059509
Family of Faith Christian U.,Private,OK,Other,102.0,546,35.4623548,-96.9014236
Fashion Institute of Technology,Public,NY,Primarily online,8767.0,1872,40.7472735,-73.9950166
Faulkner U.,Private,AL,TBD,3178.0,2773,32.3835476,-86.21675739999999
Fayetteville State U.,Public,NC,TBD,6318.0,823,35.0742206,-78.8924896
Fayetteville Technical Community College,Public,NC,TBD,11534.0,823,35.0666422,-78.9258784
Feather River College,Public,CA,TBD,2216.0,177,39.9503767,-120.9692185
Felician U.,Private,NJ,Hybrid,2004.0,2207,40.8305514,-74.1116291
Ferris State U.,Public,MI,Primarily in person,13250.0,129,43.6839617,-85.4852488
Ferrum College,Private,VA,Hybrid,1124.0,285,36.9264771,-80.0206987
Finger Lakes Community College,Public,NY,Primarily online,5944.0,319,42.8680267,-77.2418556
Finlandia U.,Private,MI,Primarily in person,456.0,129,47.12677859999999,-88.5868536
Fisher College,Private,MA,Primarily in person,1662.0,2697,42.3553507,-71.0734662
Fisk U.,Private,TN,TBD,780.0,2825,36.167332,-86.8035531
Fitchburg State U.,Public,MA,TBD,7199.0,1631,42.5887548,-71.7897278
Flagler College at St. Augustine (Fla.),Private,FL,TBD,2608.0,1411,29.8926844,-81.31489719999999
Flathead Valley Community College,Public,MT,Primarily online,2351.0,268,48.2284112,-114.3271821
Flint Hills Technical College,Public,KS,Primarily in person,1425.0,1934,38.4190597,-96.22403369999999
Florence-Darlington Technical College,Public,SC,TBD,4182.0,2186,34.2444216,-79.81606699999999
Florida A&M U.,Public,FL,Hybrid,10021.0,1523,30.4268567,-84.2851312
Florida Atlantic U.,Public,FL,Primarily online,29772.0,2367,26.3749876,-80.10106329999999
Florida College,Private,FL,Primarily in person,508.0,2184,28.034575,-82.3834526
Florida Gateway College,Public,FL,Hybrid,3385.0,3722,30.1764441,-82.56668100000002
Florida Gulf Coast U.,Public,FL,TBD,15031.0,2181,26.4637116,-81.7752618
Florida Institute of Technology,Private,FL,Primarily in person,6271.0,969,28.0646282,-80.6230583
Florida International U.,Public,FL,Primarily online,57942.0,4518,25.7561275,-80.3768786
Florida Keys Community College,Public,FL,TBD,862.0,1778,24.5834284,-81.7442182
Florida Memorial U.,Private,FL,Hybrid,1189.0,4518,25.9180436,-80.2706991
Florida Polytechnic U.,Public,FL,Other,1425.0,1943,28.1486516,-81.84806640000001
Florida Southern College,Private,FL,Primarily in person,3154.0,1943,28.0314545,-81.9450401
Florida SouthWestern State College,Public,FL,Hybrid,16556.0,2181,26.55146,-81.88902750000001
Florida State College at Jacksonville,Public,FL,Primarily online,23413.0,2344,30.33528919999999,-81.6601938
Florida State U.,Public,FL,Hybrid,41005.0,1523,30.4418778,-84.2984889
Folsom Lake College,Public,CA,TBD,8575.0,667,38.6619796,-121.1261936
Fond du Lac Tribal and Community College,Public,MN,TBD,1982.0,349,46.6897053,-92.451629
Fontbonne U.,Private,MO,Primarily in person,1290.0,1300,38.641545,-90.315891
Foothill College,Public,CA,Primarily online,14732.0,553,37.3614051,-122.1277574
Fordham U.,Private,NY,Primarily online,16515.0,3455,40.8620404,-73.88569869999999
Forsyth Technical Community College,Public,NC,TBD,7779.0,1325,36.0694251,-80.27273269999999
Fort Berthold Community College,Public,ND,TBD,198.0,1133,47.9832506,-102.4731946
Fort Hays State U.,Public,KS,TBD,15523.0,450,38.8714463,-99.3444887
Fort Lewis College,Public,CO,Primarily in person,3319.0,359,37.2754262,-107.8682022
Fort Peck Community College,Public,MT,Primarily in person,305.0,169,48.11357539999999,-105.1930135
Fort Scott Community College,Public,KS,Primarily in person,1868.0,388,37.8167167,-94.7157988
Fort Valley State U.,Public,GA,Primarily in person,2776.0,1209,32.536427,-83.8981244
Fox Valley Technical College,Public,WI,TBD,11709.0,597,44.2825257,-88.4598496
Framingham State U.,Public,MA,Primarily online,5565.0,1623,42.2983843,-71.43662309999999
Francis Marion U.,Public,SC,Primarily in person,3940.0,2186,34.1904251,-79.6519849
Franciscan Missionaries of Our Lady U.,Private,LA,TBD,1368.0,2515,30.4014701,-91.1107008
Franciscan U. of Steubenville,Private,OH,TBD,3028.0,305,40.3772094,-80.6244016
Frank Phillips College,Public,TX,TBD,1484.0,529,35.657928,-101.406082
Franklin & Marshall College,Private,PA,Hybrid,2309.0,1050,40.0487391,-76.31992269999999
Franklin College of Indiana,Private,IN,TBD,982.0,1087,39.478646,-86.045479
Franklin Pierce U.,Private,NH,TBD,2178.0,118,42.7789743,-72.05553929999999
Franklin U.,Private,OH,Fully online,4970.0,1341,39.9583587,-82.99034069999999
Franklin W. Olin College of Engineering,Private,MA,TBD,390.0,1481,42.2930114,-71.26378199999999
Frederick Community College,Public,MD,TBD,6000.0,1207,39.4518267,-77.4185
Freed-Hardeman U.,Private,TN,Fully in person,2037.0,1120,35.4384625,-88.6361646
Fresno City College,Public,CA,Primarily online,24366.0,1542,36.7669209,-119.7979063
Fresno Pacific U.,Private,CA,Fully online,4292.0,1542,36.7268898,-119.7341818
Friends U.,Private,KS,Primarily in person,1926.0,837,37.6777089,-97.3666702
Front Range Community College,Public,CO,Primarily online,18880.0,1224,39.9013814,-105.037248
Frontier Community College,Public,IL,TBD,1931.0,267,38.38231,-88.39205500000001
Frostburg State U.,Public,MD,Hybrid,5295.0,377,39.6501666,-78.9341855
Fullerton College,Public,CA,Fully online,22644.0,1182,33.8758146,-117.9174827
Fulton-Montgomery Community College,Public,NY,Primarily online,2451.0,318,42.9835005,-74.2957685
Furman U.,Private,SC,TBD,2947.0,2044,34.9260157,-82.44007239999999
Gadsden State Community College,Public,AL,Hybrid,4736.0,1917,33.9955117,-85.9915702
Gallaudet U.,Private,DC,TBD,1557.0,1793,38.908422,-76.99238749999999
Galveston College,Public,TX,TBD,2429.0,2666,29.284711,-94.807822
Gannon U.,Private,PA,Hybrid,4291.0,350,42.1282555,-80.0867478
Garden City Community College,Public,KS,Primarily in person,1917.0,4700,37.97079799999999,-100.849507
Gardner-Webb U.,Private,NC,Primarily in person,3598.0,1049,35.2475249,-81.6706979
Garrett College,Public,MD,TBD,658.0,146,39.5607338,-79.3427559
Gaston College,Public,NC,TBD,5362.0,1391,35.3096148,-81.1911586
Gateway Community and Technical College,Public,KY,Primarily online,4093.0,789,38.9608361,-84.63299169999999
Gateway Community College,Public,AZ,TBD,5081.0,2828,33.4497249,-111.9971965
Gateway Community College (Conn.),Public,CT,Primarily in person,7016.0,1518,41.3045457,-72.9272621
Gateway Technical College,Public,WI,Primarily in person,7037.0,1470,42.7210698,-87.7809977
Gavilan College,Public,CA,Primarily online,5649.0,553,36.9732557,-121.5685598
Genesee Community College,Public,NY,Primarily in person,5530.0,468,43.0169369,-78.1378683
Geneva College,Private,PA,Primarily in person,1543.0,738,40.7728309,-80.3211589
George C. Wallace Community College at Dothan (Ala.),Public,AL,TBD,4610.0,1612,31.314414,-85.465817
George Corley Wallace State Community College at Selma (Ala.),Public,AL,TBD,1475.0,3390,32.4466035,-87.012492
George Fox U.,Private,OR,Primarily in person,3941.0,346,45.3033817,-122.9667381
George Mason U.,Public,VA,Primarily in person,37316.0,1379,38.884916,-77.1002819
George Washington U.,Private,DC,Fully online,28172.0,1793,38.8997145,-77.0485992
Georgetown College,Private,KY,Primarily online,1608.0,604,38.2070039,-84.5542847
Georgetown U.,Private,DC,Fully online,19204.0,1793,38.9076089,-77.07225849999999
Georgia College and State U.,Public,GA,Primarily in person,6989.0,2131,33.0804485,-83.2319298
Georgia Gwinnett College,Public,GA,TBD,12508.0,1971,33.9799796,-84.00444089999999
Georgia Highlands College,Public,GA,Primarily in person,6184.0,1308,34.1697568,-85.2074433
Georgia Institute of Technology,Public,GA,Primarily online,32723.0,1769,33.7756178,-84.39628499999999
Georgia Military College,Public,GA,Primarily online,8812.0,2131,33.0789184,-83.22351689999999
Georgia Northwestern Technical College,Public,GA,TBD,5837.0,1308,34.8089215,-85.2460723
Georgia Piedmont Technical College,Public,GA,TBD,3374.0,1679,33.7899103,-84.23445219999999
Georgia Southern U.,Public,GA,Primarily in person,26408.0,1472,32.42054890000001,-81.78653469999999
Georgia Southwestern State U.,Public,GA,Primarily in person,2907.0,2402,32.0560379,-84.21750809999999
Georgia State U.,Public,GA,Primarily in person,18487.0,1769,33.753068,-84.38528190000001
Georgian Court U.,Private,NJ,Primarily online,2458.0,1767,40.0994685,-74.2268883
Germanna Community College,Public,VA,Primarily online,7207.0,595,38.2322677,-77.4935883
Gettysburg College,Private,PA,Primarily in person,2441.0,465,39.8356944,-77.2356339
Glen Oaks Community College,Public,MI,Primarily in person,1201.0,915,41.8924364,-85.4968205
Glendale Community College (Ariz.),Public,AZ,Primarily online,17942.0,2828,33.5694333,-112.1908271
Glendale Community College (Calif.),Public,CA,Fully online,13892.0,1903,34.1665795,-118.2279189
Glenville State College,Public,WV,Primarily in person,1586.0,195,38.9348779,-80.83322199999999
God's Bible School and College,Private,OH,TBD,266.0,1122,39.1157219,-84.5055938
Goddard College,Private,VT,Fully online,448.0,84,44.2789862,-72.43810069999999
Gogebic Community College,Public,MI,Primarily online,996.0,623,46.472624,-90.16465
Golden West College,Public,CA,Primarily online,11621.0,1182,33.7337155,-118.0030355
Goldey-Beacom College,Private,DE,Primarily in person,1493.0,1237,39.7415725,-75.6895335
Gonzaga U.,Private,WA,Primarily in person,7563.0,776,47.66703210000001,-117.4014343
Good Samaritan College of Nursing and Health Science,Private,OH,TBD,532.0,1122,39.140035,-84.5206726
Goodwin College,Private,CT,TBD,3397.0,1413,41.7428246,-72.6404704
Gordon College (Mass.),Private,MA,Hybrid,1955.0,2226,42.5893751,-70.8209286
Gordon State College (Ga.),Public,GA,Primarily in person,3663.0,1205,33.0473845,-84.15165580000001
Goshen College,Private,IN,Primarily in person,927.0,2250,41.5637669,-85.8280851
Goucher College,Private,MD,Hybrid,2267.0,1471,39.408765,-76.59654499999999
Governors State U.,Public,IL,TBD,4857.0,1248,41.4486609,-87.7165346
Grace Christian U.,Private,MI,Primarily in person,1016.0,1119,42.9191226,-85.6921393
Grace College and Seminary (Ind.),Private,IN,TBD,2029.0,1036,41.2259141,-85.81587189999999
Grace College of Divinity (N.C.),Private,NC,Fully in person,157.0,823,35.0587005,-78.9613952
Grace Mission U.,Private,CA,Fully online,194.0,1182,33.8692779,-117.9573974
Grace School of Theology,Private,TX,TBD,532.0,1118,30.2059545,-95.4724072
Graceland U. (Iowa),Private,IA,TBD,1993.0,261,40.6162801,-93.9252899
Grambling State U.,Public,LA,Primarily in person,5205.0,1512,32.5206702,-92.7189283
Grand Rapids Community College,Public,MI,TBD,13788.0,1119,42.96689680000001,-85.6667224
Grand Valley State U.,Public,MI,Hybrid,24677.0,609,42.9641221,-85.8890404
Grand View U.,Private,IA,Primarily in person,1886.0,2036,41.6207353,-93.60024829999999
Granite State College,Public,NH,Fully online,2025.0,307,43.1929168,-71.5272064
Grays Harbor College,Public,WA,Primarily in person,1868.0,135,46.9543914,-123.8036449
Grayson College,Public,TX,Hybrid,4372.0,782,33.7050974,-96.63410449999999
Great Basin College,Public,NV,TBD,3451.0,923,40.8425713,-115.7671347
Great Bay Community College,Public,NH,Primarily online,1887.0,535,43.0719318,-70.7993803
